,open,high,low,close,adjclose,volume,ticker
2016-10-28,4293.3701171875,5941.7998046875,2006.469970703125,2044.469970703125,2044.469970703125,2532790.0,ZEC-USD
2016-10-29,2014.3800048828125,2028.4599609375,504.5350036621094,574.8209838867188,574.8209838867188,1009210.0,ZEC-USD
2016-10-31,570.9119873046875,2217.639892578125,472.7250061035156,1624.5799560546875,1624.5799560546875,4333820.0,ZEC-USD
2016-11-01,1599.719970703125,2027.050048828125,1189.3299560546875,1333.739990234375,1333.739990234375,4802060.0,ZEC-USD
2016-11-02,1326.2900390625,1409.0699462890625,872.4149780273438,942.7839965820312,942.7839965820312,3936160.0,ZEC-USD
2016-11-03,940.6610107421875,1067.5899658203125,863.8060302734375,887.2579956054688,887.2579956054688,2783300.0,ZEC-USD
2016-11-04,887.6640014648438,889.801025390625,601.843994140625,603.9819946289062,603.9819946289062,2469390.0,ZEC-USD
2016-11-05,599.5189819335938,634.0029907226562,501.69000244140625,504.5719909667969,504.5719909667969,1984150.0,ZEC-USD
2016-11-06,504.2699890136719,507.50299072265625,320.5379943847656,321.7900085449219,321.7900085449219,2390590.0,ZEC-USD
2016-11-07,319.2330017089844,345.9389953613281,236.0050048828125,236.0050048828125,236.0050048828125,1808930.0,ZEC-USD
2016-11-08,233.7790069580078,308.6409912109375,178.9770050048828,308.6409912109375,308.6409912109375,2578200.0,ZEC-USD
2016-11-09,331.69000244140625,374.1239929199219,222.51100158691406,255.58399963378906,255.58399963378906,3706020.0,ZEC-USD
2016-11-10,254.93699645996094,257.4909973144531,224.83299255371094,226.16799926757812,226.16799926757812,1255400.0,ZEC-USD
2016-11-11,224.6719970703125,226.16600036621094,183.24099731445312,183.3560028076172,183.3560028076172,1173130.0,ZEC-USD
2016-11-12,183.02000427246094,189.53799438476562,144.10800170898438,144.10800170898438,144.10800170898438,1167540.0,ZEC-USD
2016-11-13,143.1739959716797,146.22799682617188,117.25599670410156,117.25599670410156,117.25599670410156,1401920.0,ZEC-USD
2016-11-14,117.55400085449219,117.822998046875,97.18280029296875,105.06500244140625,105.06500244140625,1418260.0,ZEC-USD
2016-11-15,105.15499877929688,131.22500610351562,97.43360137939453,109.34300231933594,109.34300231933594,2030660.0,ZEC-USD
2016-11-16,109.70999908447266,115.61799621582031,96.91519927978516,96.95490264892578,96.95490264892578,1443840.0,ZEC-USD
2016-11-17,97.47769927978516,100.4229965209961,85.38990020751953,87.64420318603516,87.64420318603516,915597.0,ZEC-USD
2016-11-18,87.32939910888672,88.84100341796875,70.46900177001953,70.63849639892578,70.63849639892578,1032890.0,ZEC-USD
2016-11-19,71.11640167236328,72.00409698486328,64.62689971923828,65.70079803466797,65.70079803466797,822655.0,ZEC-USD
2016-11-20,65.28790283203125,67.62920379638672,60.274200439453125,60.274200439453125,60.274200439453125,598211.0,ZEC-USD
2016-11-21,59.96160125732422,60.22999954223633,53.94029998779297,54.01919937133789,54.01919937133789,711312.0,ZEC-USD
2016-11-22,54.01340103149414,72.02020263671875,53.38959884643555,57.900299072265625,57.900299072265625,1326320.0,ZEC-USD
2016-11-23,57.535701751708984,87.67569732666016,57.39939880371094,77.5562973022461,77.5562973022461,2391080.0,ZEC-USD
2016-11-24,78.43350219726562,102.41799926757812,69.0823974609375,97.18810272216797,97.18810272216797,4090150.0,ZEC-USD
2016-11-25,96.63939666748047,106.88500213623047,88.17130279541016,91.33190155029297,91.33190155029297,3525760.0,ZEC-USD
2016-11-26,91.1333999633789,92.35769653320312,76.01629638671875,77.30110168457031,77.30110168457031,1902290.0,ZEC-USD
2016-11-27,77.32939910888672,80.42130279541016,66.65560150146484,69.8302993774414,69.8302993774414,1465100.0,ZEC-USD
2016-11-28,69.26470184326172,75.52449798583984,66.20890045166016,70.95970153808594,70.95970153808594,1262350.0,ZEC-USD
2016-11-29,71.84459686279297,77.66320037841797,67.9573974609375,68.71649932861328,68.71649932861328,1275680.0,ZEC-USD
2016-11-30,68.75969696044922,72.9448013305664,66.7146987915039,68.68509674072266,68.68509674072266,1389900.0,ZEC-USD
2016-12-01,68.45559692382812,68.45559692382812,62.493499755859375,63.02840042114258,63.02840042114258,1247650.0,ZEC-USD
2016-12-02,63.62670135498047,64.50409698486328,60.32389831542969,60.32389831542969,60.32389831542969,1201460.0,ZEC-USD
2016-12-03,59.84629821777344,60.84619903564453,58.65999984741211,59.53030014038086,59.53030014038086,837752.0,ZEC-USD
2016-12-04,59.46260070800781,62.110801696777344,58.35499954223633,58.39189910888672,58.39189910888672,825231.0,ZEC-USD
2016-12-05,58.38949966430664,58.58530044555664,50.812198638916016,50.93159866333008,50.93159866333008,1036500.0,ZEC-USD
2016-12-06,50.97129821777344,53.07870101928711,47.48149871826172,48.739200592041016,48.739200592041016,1386070.0,ZEC-USD
2016-12-07,48.73970031738281,61.18479919433594,47.71260070800781,54.60810089111328,54.60810089111328,1479950.0,ZEC-USD
2016-12-08,54.00090026855469,57.451499938964844,53.277198791503906,53.30459976196289,53.30459976196289,797234.0,ZEC-USD
2016-12-09,53.37990188598633,53.43619918823242,49.70500183105469,50.372501373291016,50.372501373291016,674180.0,ZEC-USD
2016-12-10,50.354698181152344,50.54090118408203,48.11050033569336,49.77640151977539,49.77640151977539,539462.0,ZEC-USD
2016-12-11,49.60060119628906,50.555198669433594,48.33620071411133,48.47800064086914,48.47800064086914,512219.0,ZEC-USD
2016-12-12,48.48040008544922,50.12300109863281,48.3307991027832,49.923500061035156,49.923500061035156,650266.0,ZEC-USD
2016-12-13,50.022300720214844,50.022300720214844,46.55009841918945,46.78150177001953,46.78150177001953,600625.0,ZEC-USD
2016-12-14,46.817501068115234,47.237998962402344,43.13479995727539,44.32870101928711,44.32870101928711,801444.0,ZEC-USD
2016-12-15,44.410499572753906,44.410499572753906,40.07720184326172,40.31449890136719,40.31449890136719,658957.0,ZEC-USD
2016-12-16,40.477298736572266,42.30229949951172,40.05950164794922,40.22129821777344,40.22129821777344,417793.0,ZEC-USD
2016-12-17,40.21889877319336,40.22159957885742,35.79690170288086,35.8385009765625,35.8385009765625,668641.0,ZEC-USD
2016-12-18,35.82160186767578,40.626399993896484,35.13719940185547,36.437599182128906,36.437599182128906,603727.0,ZEC-USD
2016-12-19,36.54629898071289,37.47710037231445,33.905399322509766,34.47370147705078,34.47370147705078,544746.0,ZEC-USD
2016-12-20,34.55500030517578,40.062599182128906,34.23630142211914,36.01839828491211,36.01839828491211,1105810.0,ZEC-USD
2016-12-21,36.165199279785156,39.320098876953125,35.772098541259766,36.287200927734375,36.287200927734375,892439.0,ZEC-USD
2016-12-22,36.29249954223633,48.565101623535156,36.28239822387695,47.76150131225586,47.76150131225586,2591110.0,ZEC-USD
2016-12-23,48.019100189208984,63.972900390625,45.968299865722656,52.05329895019531,52.05329895019531,4812040.0,ZEC-USD
2016-12-24,51.98939895629883,54.89440155029297,47.51380157470703,48.239498138427734,48.239498138427734,1362700.0,ZEC-USD
2016-12-25,48.517601013183594,50.009300231933594,44.064998626708984,45.84960174560547,45.84960174560547,927218.0,ZEC-USD
2016-12-26,45.89059829711914,46.910301208496094,42.66780090332031,43.58530044555664,43.58530044555664,896655.0,ZEC-USD
2016-12-27,43.50270080566406,48.31439971923828,42.164100646972656,44.38029861450195,44.38029861450195,1034630.0,ZEC-USD
2016-12-28,44.02280044555664,54.11349868774414,43.71500015258789,48.486698150634766,48.486698150634766,2236980.0,ZEC-USD
2016-12-29,48.42850112915039,52.93470001220703,48.42850112915039,50.98720169067383,50.98720169067383,1191160.0,ZEC-USD
2016-12-30,50.52360153198242,52.244598388671875,49.968101501464844,50.38119888305664,50.38119888305664,960167.0,ZEC-USD
2016-12-31,50.48059844970703,50.48059844970703,48.01169967651367,48.10459899902344,48.10459899902344,534660.0,ZEC-USD
2017-01-01,48.048500061035156,49.05979919433594,47.96969985961914,48.47100067138672,48.47100067138672,530961.0,ZEC-USD
2017-01-02,48.358299255371094,50.257301330566406,48.14149856567383,49.785499572753906,49.785499572753906,795244.0,ZEC-USD
2017-01-03,50.08639907836914,51.71049880981445,48.61220169067383,50.04460144042969,50.04460144042969,1131760.0,ZEC-USD
2017-01-04,49.80009841918945,57.250701904296875,49.72420120239258,57.029998779296875,57.029998779296875,1998750.0,ZEC-USD
2017-01-05,57.220001220703125,59.77220153808594,47.69940185546875,49.83639907836914,49.83639907836914,2845970.0,ZEC-USD
2017-01-06,49.79130172729492,52.24140167236328,45.74079895019531,47.4552001953125,47.4552001953125,1202660.0,ZEC-USD
2017-01-07,47.70899963378906,47.87139892578125,44.006900787353516,47.379798889160156,47.379798889160156,1084960.0,ZEC-USD
2017-01-08,47.39229965209961,48.16809844970703,45.62139892578125,46.11000061035156,46.11000061035156,831332.0,ZEC-USD
2017-01-09,46.11819839477539,46.467498779296875,45.593299865722656,46.09830093383789,46.09830093383789,668273.0,ZEC-USD
2017-01-10,46.21839904785156,46.36709976196289,45.02579879760742,45.66019821166992,45.66019821166992,749575.0,ZEC-USD
2017-01-11,45.6338996887207,46.035499572753906,39.76179885864258,40.048500061035156,40.048500061035156,1211260.0,ZEC-USD
2017-01-12,40.066898345947266,45.41600036621094,39.4364013671875,42.80590057373047,42.80590057373047,1387920.0,ZEC-USD
2017-01-13,42.66120147705078,44.469600677490234,42.2765007019043,43.20650100708008,43.20650100708008,691680.0,ZEC-USD
2017-01-14,43.210201263427734,44.03810119628906,42.89939880371094,43.63990020751953,43.63990020751953,575149.0,ZEC-USD
2017-01-15,43.62889862060547,45.40919876098633,43.022701263427734,45.147701263427734,45.147701263427734,806839.0,ZEC-USD
2017-01-16,45.10060119628906,45.22890090942383,43.304100036621094,43.46039962768555,43.46039962768555,667903.0,ZEC-USD
2017-01-17,43.58250045776367,45.246700286865234,43.395198822021484,44.675201416015625,44.675201416015625,1087180.0,ZEC-USD
2017-01-18,44.736000061035156,44.975101470947266,41.9463996887207,43.918399810791016,43.918399810791016,963419.0,ZEC-USD
2017-01-19,43.88520050048828,44.34640121459961,42.99470138549805,44.24919891357422,44.24919891357422,589695.0,ZEC-USD
2017-01-20,44.21780014038086,44.21780014038086,43.12310028076172,43.65439987182617,43.65439987182617,682880.0,ZEC-USD
2017-01-21,43.599700927734375,44.41659927368164,43.39099884033203,43.509498596191406,43.509498596191406,691633.0,ZEC-USD
2017-01-22,43.497798919677734,44.487098693847656,42.79079818725586,43.30820083618164,43.30820083618164,812956.0,ZEC-USD
2017-01-23,43.33649826049805,43.605201721191406,42.786399841308594,42.85409927368164,42.85409927368164,611189.0,ZEC-USD
2017-01-24,42.673099517822266,43.422698974609375,41.41130065917969,41.41130065917969,41.41130065917969,661979.0,ZEC-USD
2017-01-25,41.41310119628906,42.08369827270508,39.68980026245117,40.152400970458984,40.152400970458984,831920.0,ZEC-USD
2017-01-26,40.088199615478516,41.55110168457031,37.63890075683594,38.52360153198242,38.52360153198242,1161820.0,ZEC-USD
2017-01-27,38.70940017700195,40.16429901123047,37.89830017089844,38.21839904785156,38.21839904785156,939370.0,ZEC-USD
2017-01-28,38.23320007324219,38.982200622558594,38.09109878540039,38.204498291015625,38.204498291015625,571993.0,ZEC-USD
2017-01-29,38.26240158081055,41.529701232910156,38.2406005859375,38.66640090942383,38.66640090942383,890475.0,ZEC-USD
2017-01-30,38.6510009765625,40.30590057373047,38.520301818847656,39.97990036010742,39.97990036010742,764947.0,ZEC-USD
2017-01-31,39.80059814453125,40.44900131225586,38.93790054321289,39.520198822021484,39.520198822021484,973401.0,ZEC-USD
